Acyrthosiphon pisum
Apis mellifera
Bombyx mori
Bos taurus
Bovine herpesvirus
Branchiostoma floridae
Caenorhabditis elegans
Canis familiaris
Capitella teleta
Ciona intestinalis
Danio rerio
Drosophila melanogaster
Drosophila pseudoobscura
Epstein Barr
Equus caballus
Fugu rubripes
Gallus gallus
Herpes Simplex
Homo sapiens
Macaca mulatta
Monodelphis domestica
Mouse cytomegalovirus
Mus musculus
Ornithorhynchus anatinus
Oryza sativa
Pan troglodytes
Physcomitrella patens
Picea abies
Pongo pygmaeus
Rattus norvegicus
Selaginella moellendorffii
Sus scrofa
Taeniopygia guttata
Tetraodon nigroviridis
Xenopus tropicalis
